"","Age","Price","Age_correct","KM","FuelType","CC","Weight","Fueltype_num"
"13",24,19600,25,32189,"Petrol",1800,1185,2
"14",21,21500,31,23000,"Petrol",1800,1185,2
"17",22,22750,30,34000,"Petrol",1800,1185,2
"26",20,15950,25,28450,"Petrol",1600,1120,2
"33",20,15950,27,29510,"Petrol",1400,1100,2
"37",22,15950,25,25000,"Petrol",1400,1100,2
"51",24,17950,22,62636,"Diesel",2000,1255,1
"60",22,15999,30,38950,"Petrol",1600,1130,2
"61",21,14950,22,37400,"Petrol",1400,1110,2
"62",19,16500,27,37177,"Petrol",1600,1130,2
"63",20,18750,31,36544,"Petrol",1600,1130,2
"68",20,14950,22,30400,"Petrol",1400,1110,2
"71",20,15950,28,29206,"Petrol",1400,1110,2
"72",21,12995,32,29198,"Petrol",1400,1060,2
"82",21,17250,29,20000,"Petrol",1600,1115,2
"89",25,15950,19,51884,"Petrol",1400,1100,2
"90",24,21950,19,50005,"Diesel",2000,1265,1
"96",26,19950,17,30351,"Diesel",1995,1260,1
"97",20,15950,19,29435,"Petrol",1400,1100,2
"105",18,19450,11,14635,"Petrol",1600,1155,2
"106",22,16950,19,13748,"Petrol",1400,1100,2
"108",23,17450,17,10000,"Petrol",1400,1100,2
"113",11,24950,8,13253,"Diesel",2000,1320,1
"116",10,24990,8,6000,"Diesel",2000,1280,1
"120",25,22250,17,57313,"Diesel",2000,1275,1
"122",24,19950,19,51099,"Diesel",2000,1255,1
"128",20,16500,20,35000,"Petrol",1400,1110,2
"135",19,16500,20,29000,"Petrol",1400,1110,2
"136",21,16500,19,27821,"Petrol",1400,1110,2
"143",20,19950,13,21428,"Petrol",1600,1130,2
"146",19,16450,16,20105,"Petrol",1400,1110,2
"149",19,19450,19,18328,"Petrol",1600,1130,2
"1",0.0107237638079122
