"FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
2,19600,25,32189,"Petrol",1800,1185,2
2,17950,24,21716,"Petrol",1600,1105,2
1,15950,30,67660,"Petrol",1600,1105,2
2,16950,29,43905,"Petrol",1600,1170,2
2,15950,25,28450,"Petrol",1600,1120,2
2,17950,30,11090,"Petrol",1600,1120,2
2,15950,27,29510,"Petrol",1400,1100,2
2,14950,26,32692,"Petrol",1400,1100,2
2,15750,32,25329,"Petrol",1400,1100,2
1,16950,22,100250,"Diesel",2000,1255,1
1,17950,22,72215,"Diesel",2000,1255,1
1,21950,31,64982,"Petrol",1800,1195,2
1,13250,32,45725,"Petrol",1600,1075,2
2,18950,23,39704,"Petrol",1600,1180,2
2,15999,30,38950,"Petrol",1600,1130,2
2,14950,22,37400,"Petrol",1400,1110,2
2,16500,27,37177,"Petrol",1600,1130,2
2,16895,29,22575,"Petrol",1600,1115,2
2,18950,25,20019,"Petrol",1600,1180,2
2,17450,28,8537,"Petrol",1600,1130,2
2,19950,16,34472,"Diesel",1995,1260,1
2,15950,19,25948,"Petrol",1400,1100,2
2,18750,11,24500,"Petrol",1600,1120,2
